Form	Lemma	UPosTag	XPosTag	Feats
уверен	уверенный	ADJ	_	Degree=Pos|Gender=Masc|Number=Sing|Variant=Short	
что	что	SCONJ	_	_	
я	я	PRON	_	Case=Nom|Number=Sing|Person=1	
припаркаюсь	припаркаться	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Mid	
где-то	где-то	ADV	_	Degree=Pos	
ну	ну	PART	_	_	
отойду	отойти	VERB	_	Aspect=Perf|Mood=Ind|Number=Sing|Person=1|Tense=Fut|VerbForm=Fin|Voice=Act	
через	через	ADP	_	_	
время	время	NOUN	_	Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing	
вернусь	вернуться	VERB	_	Aspect=Perf|Mood=Ind|Number=Sing|Person=1|Tense=Fut|VerbForm=Fin|Voice=Mid	
а	а	CCONJ	_	_	
там	там	ADV	_	Degree=Pos	
кто-то	кто-то	PRON	_	Case=Nom	
сидит	сидеть	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	
ну	ну	PART	_	_	
а	а	CCONJ	_	_	
я	я	PRON	_	Case=Nom|Number=Sing|Person=1	
ничего	ничто	PRON	_	Case=Gen	
не	не	PART	_	_	
смогу	мочь	VERB	_	Aspect=Perf|Mood=Ind|Number=Sing|Person=1|Tense=Fut|VerbForm=Fin|Voice=Act	
ему	он	PRON	_	Case=Dat|Gender=Masc|Number=Sing|Person=3	
сказать	сказать	VERB	_	Aspect=Perf|VerbForm=Inf|Voice=Act	
потому	потому	ADV	_	Degree=Pos	
что	что	SCONJ	_	_	
я	я	PRON	_	Case=Nom|Number=Sing|Person=1	
не	не	PART	_	_	
смелый	смелый	ADJ	_	Case=Nom|Degree=Pos|Gender=Masc|Number=Sing	
и	и	CCONJ	_	_	
мы	мы	PRON	_	Case=Nom|Number=Plur|Person=1	
просто	просто	PART	_	_	
будем	быть	AUX	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	
с	с	ADP	_	_	
ним	он	PRON	_	Case=Ins|Gender=Masc|Number=Sing|Person=3	
кататься	катываться	VERB	_	Aspect=Imp|VerbForm=Inf|Voice=Mid	
по	по	ADP	_	_	
городу	город	NOUN	_	Animacy=Inan|Case=Dat|Gender=Masc|Number=Sing	
там	там	ADV	_	Degree=Pos	
покажу	показать	VERB	_	Aspect=Perf|Mood=Ind|Number=Sing|Person=1|Tense=Fut|VerbForm=Fin|Voice=Act	
ему	он	PRON	_	Case=Dat|Gender=Masc|Number=Sing|Person=3	
Москву	Москва	PROPN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing	
пососемся	пососться	VERB	_	Aspect=Perf|Mood=Ind|Number=Plur|Person=1|Tense=Fut|VerbForm=Fin|Voice=Mid	
нет	нет	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	
ну	ну	PART	_	_	
да	да	CCONJ	_	_	
мхм	мх	ADJ	_	Case=Dat|Degree=Pos|Number=Plur	
мм	миллиметр	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing	
мда	мд	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing	
мхм	мх	ADJ	_	Case=Ins|Degree=Pos|Gender=Masc|Number=Sing	
я	я	PRON	_	Case=Nom|Number=Sing|Person=1	
смотрю	смотреть	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	
у	у	ADP	_	_	
тя	ть	SCONJ	_	_	
есть	быть	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	
да	да	CCONJ	_	_	
тяга	тяга	NOUN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing	
к	к	ADP	_	_	
знаниям	знание	NOUN	_	Animacy=Inan|Case=Dat|Gender=Neut|Number=Plur	
ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	
хорошо	хороший	ADV	_	Degree=Pos	
учился	учиться	VERB	_	Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Mid	
в	в	ADP	_	_	
универе	универа	NOUN	_	Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing	
мхм	мх	NOUN	_	Animacy=Inan|Case=Ins|Gender=Neut|Number=Sing	
да	да	CCONJ	_	_	
пятый	пятый	ADJ	_	Case=Nom|Degree=Pos|Gender=Masc|Number=Sing	
курс	курс	NOUN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing	
да	да	CCONJ	_	_	
я	я	PRON	_	Case=Nom|Number=Sing|Person=1	
понял	понять	VERB	_	Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	
ну	ну	PART	_	_	
я	я	PRON	_	Case=Nom|Number=Sing|Person=1	
не	не	PART	_	_	
знаю	знать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	
ну	ну	PART	_	_	
погода	погода	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	
конечно	конечно	ADV	_	Degree=Pos	
так	так	ADV	_	Degree=Pos	
себе	себя	PRON	_	Case=Dat	
ну	ну	PART	_	_	
я	я	PRON	_	Case=Nom|Number=Sing|Person=1	
живу	жить	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	
в	в	ADP	_	_	
Москве	Москва	PROPN	_	Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing	
и	и	CCONJ	_	_	
Москва	Москва	PROPN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	
очень	очень	ADV	_	Degree=Pos	
мрачный	мрачный	ADJ	_	Case=Nom|Degree=Pos|Gender=Masc|Number=Sing	
город	город	NOUN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing	
очень	очень	ADV	_	Degree=Pos	
серый	серый	ADJ	_	Case=Nom|Degree=Pos|Gender=Masc|Number=Sing	
это	это	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	
единственное	единственный	ADJ	_	Case=Nom|Degree=Pos|Gender=Neut|Number=Sing	
место	место	NOUN	_	Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing	
где	где	ADV	_	Degree=Pos	
утром	утро	NOUN	_	Animacy=Inan|Case=Ins|Gender=Neut|Number=Sing	
встаешь	встать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act	
подходишь	подходить	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act	
к	к	ADP	_	_	
окну	окно	VERB	_	Aspect=Perf|Mood=Ind|Number=Sing|Person=1|Tense=Fut|VerbForm=Fin|Voice=Act	
раскрываешь	раскрывать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act	
шторы	штора	NOUN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Plur	
и	и	CCONJ	_	_	
комната	комната	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	
становится	становиться	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid	
темнее	темный	ADJ	_	Degree=Cmp	
чем	чем	SCONJ	_	_	
она	она	PRON	_	Case=Nom|Gender=Fem|Number=Sing|Person=3	
была	быть	AUX	_	Aspect=Imp|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	
да	да	CCONJ	_	_	
его	он	DET	_	_	
главное	главный	NOUN	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	
не	не	PART	_	_	
перепить	перепить	VERB	_	Aspect=Perf|VerbForm=Inf|Voice=Act	
ну	ну	PART	_	_	
в	в	ADP	_	_	
целом	целое	NOUN	_	Animacy=Inan|Case=Loc|Gender=Neut|Number=Sing	
нормально	нормально	ADV	_	Degree=Pos	
я	я	PRON	_	Case=Nom|Number=Sing|Person=1	
на	на	ADP	_	_	
метро	метро	NOUN	_	Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing	
ехал	ехать	VERB	_	Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	
вот	вот	PART	_	_	
единственная	единственный	ADJ	_	Case=Nom|Degree=Pos|Gender=Fem|Number=Sing	
проблемка	проблемка	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	
возникла	возникнуть	VERB	_	Aspect=Perf|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	
ко	к	ADP	_	_	
мне	я	PRON	_	Case=Dat|Number=Sing|Person=1	
кавказец	кавказец	NOUN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing	
подсел	дсеть	VERB	_	Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	
узнать	узнать	VERB	_	Aspect=Perf|VerbForm=Inf|Voice=Act	
не	не	PART	_	_	
гей	гей	NOUN	_	Animacy=Anim|Case=Acc|Gender=Masc|Number=Plur	
ли	ли	PART	_	_	
я	я	PRON	_	Case=Nom|Number=Sing|Person=1	
прикинь	прикинь	VERB	_	Aspect=Perf|Mood=Imp|Number=Sing|Person=2|VerbForm=Fin|Voice=Act	
ну	ну	PART	_	_	
он	он	PRON	_	Case=Nom|Gender=Masc|Number=Sing|Person=3	
вначале	вначале	ADV	_	Degree=Pos	
две	два	NUM	_	Animacy=Inan|Case=Acc|Gender=Fem	
станции	станция	NOUN	_	Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing	
прям	пре	NOUN	_	Animacy=Anim|Case=Dat|Gender=Masc|Number=Plur	
буравил	буравило	VERB	_	Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	
меня	я	PRON	_	Case=Acc|Number=Sing|Person=1	
взглядом	взгляд	NOUN	_	Animacy=Inan|Case=Ins|Gender=Masc|Number=Sing	
пытался	пытаться	VERB	_	Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Mid	
взгляд	взгляд	NOUN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing	
поймать	поймать	VERB	_	Aspect=Perf|VerbForm=Inf|Voice=Act	
мой	мой	DET	_	Case=Nom|Gender=Masc|Number=Sing	
а	а	X	_	Foreign=Yes	
у	у	ADP	_	_	
меня	я	PRON	_	Case=Acc|Number=Sing|Person=1	
даже	даже	PART	_	_	
телефона	телефон	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing	
с	с	ADP	_	_	
собой	себя	PRON	_	Case=Ins	
нет	нет	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	
я	я	PRON	_	Case=Nom|Number=Sing|Person=1	
просто	просто	PART	_	_	
по	по	ADP	_	_	
дуге	дуга	NOUN	_	Animacy=Anim|Case=Loc|Gender=Masc|Number=Sing	
его	он	PRON	_	Case=Acc|Gender=Masc|Number=Sing|Person=3	
взглядом	взгляд	NOUN	_	Animacy=Inan|Case=Ins|Gender=Masc|Number=Sing	
обвожу	обводить	NOUN	_	Animacy=Inan|Case=Dat|Gender=Masc|Number=Sing	
ну	ну	PART	_	_	
и	и	CCONJ	_	_	
в	в	ADP	_	_	
моменте	момент	NOUN	_	Animacy=Anim|Case=Loc|Gender=Masc|Number=Sing	
он	он	PRON	_	Case=Nom|Gender=Masc|Number=Sing|Person=3	
все-таки	все-таки	PART	_	_	
поймал	поймать	VERB	_	Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	
мой	мой	DET	_	Case=Nom|Gender=Masc|Number=Sing	
взгляд	взгляд	NOUN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing	
надел	надеть	VERB	_	Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	
капюшон	капюшон	NOUN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing	
сел	сесть	VERB	_	Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Mid	
ко	к	ADP	_	_	
мне	я	PRON	_	Case=Dat|Number=Sing|Person=1	
и	и	CCONJ	_	_	
говорит	говорить	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	
ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	
гэ	гэ	X	_	Foreign=Yes	
я	я	PRON	_	Case=Nom|Number=Sing|Person=1	
говорю	говорить	NOUN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing	
что	что	SCONJ	_	_	
он	он	PRON	_	Case=Nom|Gender=Masc|Number=Sing|Person=3	
говорит	говорить	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	
ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	
гэ	гэ	X	_	Foreign=Yes	
ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	
гэ	гэ	X	_	Foreign=Yes	
второй	второй	ADJ	_	Case=Nom|Degree=Pos|Gender=Masc|Number=Sing	
раз	раз	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	
уже	уже	ADV	_	Degree=Pos	
спросил	спросить	VERB	_	Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	
я	я	PRON	_	Case=Nom|Number=Sing|Person=1	
говорю	говорить	NOUN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing	
что	что	SCONJ	_	_	
еще	еще	ADV	_	Degree=Pos	
раз	раз	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	
он	он	PRON	_	Case=Nom|Gender=Masc|Number=Sing|Person=3	
говорит	говорить	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	
ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	
гэ	гэ	X	_	Foreign=Yes	
а	а	X	_	Foreign=Yes	
я	я	PRON	_	Case=Nom|Number=Sing|Person=1	
говорю	говорить	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	
я	я	PRON	_	Case=Nom|Number=Sing|Person=1	
не	не	PART	_	_	
понимаю	понимать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	
ну	ну	PART	_	_	
я	я	PRON	_	Case=Nom|Number=Sing|Person=1	
действительно	действительно	ADV	_	Degree=Pos	
не	не	PART	_	_	
понимал	понимать	VERB	_	Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	
ну	ну	PART	_	_	
странно	странно	ADJ	_	Degree=Pos|Gender=Neut|Number=Sing|Variant=Short	
пытаться	пытаться	VERB	_	Aspect=Imp|VerbForm=Inf|Voice=Mid	
угадать	гадать	VERB	_	Aspect=Perf|VerbForm=Inf|Voice=Act	
что	что	SCONJ	_	_	
он	он	PRON	_	Case=Nom|Gender=Masc|Number=Sing|Person=3	
хочет	хотеть	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	
сказать	сказать	VERB	_	Aspect=Perf|VerbForm=Inf|Voice=Act	
типа	тип	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing	
ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	
гэ	гэ	X	_	Foreign=Yes	
я	я	PRON	_	Case=Nom|Number=Sing|Person=1	
говорю	говорить	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	
я	я	PRON	_	Case=Nom|Number=Sing|Person=1	
не	не	PART	_	_	
гэ	гэ	X	_	Foreign=Yes	
я	я	PRON	_	Case=Nom|Number=Sing|Person=1	
жэ	жэ	X	_	Foreign=Yes	
ну	ну	PART	_	_	
и	и	CCONJ	_	_	
в	в	ADP	_	_	
общем	общий	ADJ	_	Case=Loc|Degree=Pos|Gender=Neut|Number=Sing	
он	он	PRON	_	Case=Nom|Gender=Masc|Number=Sing|Person=3	
хотел	хотеть	VERB	_	Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	
узнать	узнать	VERB	_	Aspect=Perf|VerbForm=Inf|Voice=Act	
не	не	PART	_	_	
гей	гей	NOUN	_	Animacy=Anim|Case=Acc|Gender=Masc|Number=Plur	
ли	ли	PART	_	_	
я	я	PRON	_	Case=Nom|Number=Sing|Person=1	
типа	тип	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing	
Женек	Женек	PROPN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing	
странно	странно	ADJ	_	Degree=Pos|Gender=Neut|Number=Sing|Variant=Short	
было	быть	AUX	_	Aspect=Imp|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	
бы	бы	AUX	_	_	
он	он	PRON	_	Case=Nom|Gender=Masc|Number=Sing|Person=3	
хочет	хотеть	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	
узнать	узнать	VERB	_	Aspect=Perf|VerbForm=Inf|Voice=Act	
ни	ни	CCONJ	_	_	
гей	гей	NOUN	_	Animacy=Anim|Case=Acc|Gender=Masc|Number=Plur	
ли	ли	PART	_	_	
я	я	PRON	_	Case=Nom|Number=Sing|Person=1	
я	я	PRON	_	Case=Nom|Number=Sing|Person=1	
говорю	говорить	NOUN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing	
нет	нет	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	
он	он	PRON	_	Case=Nom|Gender=Masc|Number=Sing|Person=3	
говорит	говорить	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	
у	у	ADP	_	_	
тебя	ты	PRON	_	Case=Acc|Number=Sing|Person=2	
прическа	прическа	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing	
женская	женский	ADJ	_	Case=Nom|Degree=Pos|Gender=Fem|Number=Sing	
ну	ну	PART	_	_	
у	у	ADP	_	_	
меня	я	PRON	_	Case=Acc|Number=Sing|Person=1	
тогда	тогда	ADV	_	Degree=Pos	
действительно	действительно	ADV	_	Degree=Pos	
другая	другой	ADJ	_	Case=Nom|Degree=Pos|Gender=Fem|Number=Sing	
прическа	прическа	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	
была	быть	AUX	_	Aspect=Imp|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	
у	у	ADP	_	_	
меня	я	PRON	_	Case=Acc|Number=Sing|Person=1	
из	из	ADP	_	_	
кудрей	кудрей	NOUN	_	Animacy=Anim|Case=Gen|Gender=Masc|Number=Plur	
[нрзб]	нрзб	NOUN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing	
были	быть	AUX	_	Aspect=Imp|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act	
сплетены	сплести	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Plur	
такая	такой	DET	_	Case=Nom|Gender=Fem|Number=Sing	
тепло	тепло	NOUN	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	
одет	одеть	VERB	_	Aspect=Perf|Gender=Masc|Number=Sing|Tense=Past|Variant=Short|VerbForm=Part|Voice=Pass	
даже	даже	PART	_	_	
не	не	PART	_	_	
выгонишь	выгонить	VERB	_	Aspect=Perf|Mood=Ind|Number=Sing|Person=2|Tense=Fut|VerbForm=Fin|Voice=Act	
думаешь	думать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act	
покатаетесь	покатаеться	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=2|Tense=Pres|VerbForm=Fin|Voice=Mid	
па-	по	NOUN	_	Animacy=Anim|Case=Acc|Gender=Masc|Number=Sing	
короче	короткий	ADJ	_	Degree=Cmp	
ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	
кстати	кстати	ADV	_	Degree=Pos	
знаешь	знать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act	
что	что	PRON	_	Case=Nom	
кабриолеты	кабриолет	NOUN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Plur	
изначально	изначально	ADV	_	Degree=Pos	
в	в	ADP	_	_	
