Form	Lemma	UPosTag	XPosTag	Feats	Head	DepRel	Deps	Misc
сидит	сидеть	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	SpacesAfter=\r\n
/	/	PUNCT	_	_	_	_	_	SpaceAfter=No
/	/	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
ну	ну	PART	_	_	_	_	_	SpacesAfter=\r\n
/	/	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
а	а	CCONJ	_	_	_	_	_	SpacesAfter=\r\n
я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	SpacesAfter=\r\n
ничего	ничто	PRON	_	Case=Gen	_	_	_	SpacesAfter=\r\n
не	не	PART	_	_	_	_	_	SpacesAfter=\r\n
смогу	мочь	VERB	_	Aspect=Perf|Mood=Ind|Number=Sing|Person=1|Tense=Fut|VerbForm=Fin|Voice=Act	_	_	_	SpacesAfter=\r\n
ему	он	PRON	_	Case=Dat|Gender=Masc|Number=Sing|Person=3	_	_	_	SpacesAfter=\r\n
сказать	сказать	VERB	_	Aspect=Perf|VerbForm=Inf|Voice=Act	_	_	_	SpacesAfter=\r\n
потому	потому	ADV	_	Degree=Pos	_	_	_	SpacesAfter=\r\n
что	что	SCONJ	_	_	_	_	_	SpacesAfter=\r\n
я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	SpacesAfter=\r\n
не	не	PART	_	_	_	_	_	SpacesAfter=\r\n
смелый	смелый	ADJ	_	Case=Nom|Degree=Pos|Gender=Masc|Number=Sing	_	_	_	SpacesAfter=\r\n
/	/	PUNCT	_	_	_	_	_	SpaceAfter=No
/	/	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
и	и	CCONJ	_	_	_	_	_	SpacesAfter=\r\n
мы	мы	PRON	_	Case=Nom|Number=Plur|Person=1	_	_	_	SpacesAfter=\r\n
просто	просто	PART	_	_	_	_	_	SpacesAfter=\r\n
будем	быть	AUX	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	SpacesAfter=\r\n
с	с	ADP	_	_	_	_	_	SpacesAfter=\r\n
ним	он	PRON	_	Case=Ins|Gender=Masc|Number=Sing|Person=3	_	_	_	SpacesAfter=\r\n
кататься	катываться	VERB	_	Aspect=Imp|VerbForm=Inf|Voice=Mid	_	_	_	SpacesAfter=\r\n
/	/	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
по	по	ADP	_	_	_	_	_	SpacesAfter=\r\n
городу	город	NOUN	_	Animacy=Inan|Case=Dat|Gender=Masc|Number=Sing	_	_	_	SpacesAfter=\r\n
там	там	ADV	_	Degree=Pos	_	_	_	SpacesAfter=\r\n
/	/	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
покажу	показать	VERB	_	Aspect=Perf|Mood=Ind|Number=Sing|Person=1|Tense=Fut|VerbForm=Fin|Voice=Act	_	_	_	SpacesAfter=\r\n
ему	он	PRON	_	Case=Dat|Gender=Masc|Number=Sing|Person=3	_	_	_	SpacesAfter=\r\n
Москву	Москва	PROPN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing	_	_	_	SpacesAfter=\r\n
/	/	PUNCT	_	_	_	_	_	SpaceAfter=No
/	/	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
пососемся	пососться	VERB	_	Aspect=Perf|Mood=Ind|Number=Plur|Person=1|Tense=Fut|VerbForm=Fin|Voice=Mid	_	_	_	SpacesAfter=\r\n
/	/	PUNCT	_	_	_	_	_	SpaceAfter=No
/	/	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
нет	нет	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	SpacesAfter=\r\n
/	/	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
ну	ну	PART	_	_	_	_	_	SpacesAfter=\r\n
/	/	PUNCT	_	_	_	_	_	SpaceAfter=No
/	/	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
да	да	CCONJ	_	_	_	_	_	SpacesAfter=\r\n
/	/	PUNCT	_	_	_	_	_	SpaceAfter=No
/	/	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
мхм	мх	ADJ	_	Case=Dat|Degree=Pos|Number=Plur	_	_	_	SpacesAfter=\r\n
/	/	PUNCT	_	_	_	_	_	SpaceAfter=No
/	/	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
мм	миллиметр	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing	_	_	_	SpacesAfter=\r\n
/	/	PUNCT	_	_	_	_	_	SpaceAfter=No
/	/	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
мда	мд	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing	_	_	_	SpacesAfter=\r\n
/	/	PUNCT	_	_	_	_	_	SpaceAfter=No
/	/	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
мхм	мх	ADJ	_	Case=Ins|Degree=Pos|Gender=Masc|Number=Sing	_	_	_	SpacesAfter=\r\n
/	/	PUNCT	_	_	_	_	_	SpaceAfter=No
/	/	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	SpacesAfter=\r\n
смотрю	смотреть	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	SpacesAfter=\r\n
у	у	ADP	_	_	_	_	_	SpacesAfter=\r\n
тя	ть	SCONJ	_	_	_	_	_	SpacesAfter=\r\n
/	/	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
есть	быть	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	SpacesAfter=\r\n
/	/	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
да	да	CCONJ	_	_	_	_	_	SpacesAfter=\r\n
/	/	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
тяга	тяга	NOUN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing	_	_	_	SpacesAfter=\r\n
к	к	ADP	_	_	_	_	_	SpacesAfter=\r\n
знаниям	знание	NOUN	_	Animacy=Inan|Case=Dat|Gender=Neut|Number=Plur	_	_	_	SpacesAfter=\r\n
/	/	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	_	_	_	SpacesAfter=\r\n
хорошо	хороший	ADV	_	Degree=Pos	_	_	_	SpacesAfter=\r\n
учился	учиться	VERB	_	Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Mid	_	_	_	SpacesAfter=\r\n
в	в	ADP	_	_	_	_	_	SpacesAfter=\r\n
универе	универа	NOUN	_	Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing	_	_	_	SpacesAfter=\r\n
?	?	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
мхм	мх	NOUN	_	Animacy=Inan|Case=Ins|Gender=Neut|Number=Sing	_	_	_	SpacesAfter=\r\n
/	/	PUNCT	_	_	_	_	_	SpaceAfter=No
/	/	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
да	да	CCONJ	_	_	_	_	_	SpacesAfter=\r\n
/	/	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
пятый	пятый	ADJ	_	Case=Nom|Degree=Pos|Gender=Masc|Number=Sing	_	_	_	SpacesAfter=\r\n
курс	курс	NOUN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing	_	_	_	SpacesAfter=\r\n
/	/	PUNCT	_	_	_	_	_	SpaceAfter=No
/	/	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
да	да	CCONJ	_	_	_	_	_	SpacesAfter=\r\n
/	/	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	SpacesAfter=\r\n
понял	понять	VERB	_	Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	SpacesAfter=\r\n
ну	ну	PART	_	_	_	_	_	SpacesAfter=\r\n
/	/	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	SpacesAfter=\r\n
не	не	PART	_	_	_	_	_	SpacesAfter=\r\n
знаю	знать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	SpacesAfter=\r\n
ну	ну	PART	_	_	_	_	_	SpacesAfter=\r\n
погода	погода	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	_	_	_	SpacesAfter=\r\n
конечно	конечно	ADV	_	Degree=Pos	_	_	_	SpacesAfter=\r\n
/	/	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
так	так	ADV	_	Degree=Pos	_	_	_	SpacesAfter=\r\n
себе	себя	PRON	_	Case=Dat	_	_	_	SpacesAfter=\r\n
/	/	PUNCT	_	_	_	_	_	SpaceAfter=No
/	/	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
ну	ну	PART	_	_	_	_	_	SpacesAfter=\r\n
/	/	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	SpacesAfter=\r\n
живу	жить	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	SpacesAfter=\r\n
в	в	ADP	_	_	_	_	_	SpacesAfter=\r\n
Москве	Москва	PROPN	_	Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing	_	_	_	SpacesAfter=\r\n
и	и	CCONJ	_	_	_	_	_	SpacesAfter=\r\n
Москва	Москва	PROPN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	_	_	_	SpacesAfter=\r\n
очень	очень	ADV	_	Degree=Pos	_	_	_	SpacesAfter=\r\n
мрачный	мрачный	ADJ	_	Case=Nom|Degree=Pos|Gender=Masc|Number=Sing	_	_	_	SpacesAfter=\r\n
город	город	NOUN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing	_	_	_	SpacesAfter=\r\n
очень	очень	ADV	_	Degree=Pos	_	_	_	SpacesAfter=\r\n
серый	серый	ADJ	_	Case=Nom|Degree=Pos|Gender=Masc|Number=Sing	_	_	_	SpacesAfter=\r\n
/	/	PUNCT	_	_	_	_	_	SpaceAfter=No
/	/	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
это	это	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	SpacesAfter=\r\n
единственное	единственный	ADJ	_	Case=Nom|Degree=Pos|Gender=Neut|Number=Sing	_	_	_	SpacesAfter=\r\n
место	место	NOUN	_	Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing	_	_	_	SpacesAfter=\r\n
где	где	ADV	_	Degree=Pos	_	_	_	SpacesAfter=\r\n
утром	утро	NOUN	_	Animacy=Inan|Case=Ins|Gender=Neut|Number=Sing	_	_	_	SpacesAfter=\r\n
встаешь	встать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	SpacesAfter=\r\n
/	/	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
подходишь	подходить	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	SpacesAfter=\r\n
к	к	ADP	_	_	_	_	_	SpacesAfter=\r\n
окну	окно	VERB	_	Aspect=Perf|Mood=Ind|Number=Sing|Person=1|Tense=Fut|VerbForm=Fin|Voice=Act	_	_	_	SpacesAfter=\r\n
/	/	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
раскрываешь	раскрывать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	SpacesAfter=\r\n
шторы	штора	NOUN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Plur	_	_	_	SpacesAfter=\r\n
и	и	CCONJ	_	_	_	_	_	SpacesAfter=\r\n
комната	комната	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	_	_	_	SpacesAfter=\r\n
становится	становиться	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid	_	_	_	SpacesAfter=\r\n
темнее	темный	ADJ	_	Degree=Cmp	_	_	_	SpacesAfter=\r\n
чем	чем	SCONJ	_	_	_	_	_	SpacesAfter=\r\n
она	она	PRON	_	Case=Nom|Gender=Fem|Number=Sing|Person=3	_	_	_	SpacesAfter=\r\n
была	быть	AUX	_	Aspect=Imp|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	SpacesAfter=\r\n
да	да	CCONJ	_	_	_	_	_	SpacesAfter=\r\n
его	он	DET	_	_	_	_	_	SpacesAfter=\r\n
главное	главный	NOUN	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	SpacesAfter=\r\n
не	не	PART	_	_	_	_	_	SpacesAfter=\r\n
перепить	перепить	VERB	_	Aspect=Perf|VerbForm=Inf|Voice=Act	_	_	_	SpacesAfter=\r\n
ну	ну	PART	_	_	_	_	_	SpacesAfter=\r\n
/	/	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
в	в	ADP	_	_	_	_	_	SpacesAfter=\r\n
целом	целое	NOUN	_	Animacy=Inan|Case=Loc|Gender=Neut|Number=Sing	_	_	_	SpacesAfter=\r\n
нормально	нормально	ADV	_	Degree=Pos	_	_	_	SpacesAfter=\r\n
/	/	PUNCT	_	_	_	_	_	SpaceAfter=No
/	/	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
